CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,LATITUDE,LONGITUDE,COUNCIL,COUNTY,PARISH,NGR,URL
5595,NC63NW 1,Grummore,"Head Dyke (Post Medieval), Township (Period Unassigned)",260500,936400,58.293989,-4.381505,HIGHLAND,SUTHERLAND,FARR,NC 605 364,http://canmore.org.uk/site/5595
5415,NC60NE 20,Leataidh,Township(S) (Period Unassigned),268800,905400,58.018329,-4.222615,HIGHLAND,SUTHERLAND,ROGART,NC 688 054,http://canmore.org.uk/site/5415
5582,NC63NE 5,Achadh An Eas,Township (Period Unassigned),266700,937100,58.302196,-4.276238,HIGHLAND,SUTHERLAND,FARR,NC 667 371,http://canmore.org.uk/site/5582
5623,NC63NW 6,Grumbeg,Township (Period Unassigned),263400,938500,58.313745,-4.333321,HIGHLAND,SUTHERLAND,FARR,NC 634 385,http://canmore.org.uk/site/5623
5637,NC63SE 20,Coirenamfeuran,Township (Period Unassigned),266200,934700,58.280506,-4.283374,HIGHLAND,SUTHERLAND,FARR,NC 662 347,http://canmore.org.uk/site/5637
6238,NC75NW 35,Achcoillenaborgie,Township (Period Unassigned),271500,959300,58.502863,-4.206829,HIGHLAND,SUTHERLAND,FARR,NC 715 593,http://canmore.org.uk/site/6238
6307,NC75SW 19,Achanellan,"Corn Drying Kiln (Period Unassigned), Head Dyke (Post Medieval), Head Dyke (Post Medieval), Township (Period Unassigned)",272700,953200,58.44847,-4.182855,HIGHLAND,SUTHERLAND,FARR,NC 727 532,http://canmore.org.uk/site/6307
5353,NC55SE 17,Kinloch,"Head Dyke (Post Medieval), Township (Period Unassigned)",255800,953000,58.441422,-4.472,HIGHLAND,SUTHERLAND,TONGUE,NC 558 530,http://canmore.org.uk/site/5353
5377,NC55SE 7,Scrabster,Township (Period Unassigned),259100,954600,58.456856,-4.416511,HIGHLAND,SUTHERLAND,TONGUE,NC 591 546,http://canmore.org.uk/site/5377
5378,NC55SE 8,Coille Na Cuile,"Head Dyke (Post Medieval), Township (Period Unassigned)",256200,950300,58.417327,-4.463462,HIGHLAND,SUTHERLAND,TONGUE,NC 562 503,http://canmore.org.uk/site/5378
5537,NC62NW 1,Alltnaba,Township (Period Unassigned)(Possible),262100,928400,58.222703,-4.349479,HIGHLAND,SUTHERLAND,FARR,NC 621 284,http://canmore.org.uk/site/5537
5560,NC63NE 3,Ach A' Chuil,"Corn Drying Kiln(S) (Period Unassigned), Head Dyke (Post Medieval), Township (Period Unassigned)",265600,937700,58.307245,-4.295339,HIGHLAND,SUTHERLAND,FARR,NC 656 377,http://canmore.org.uk/site/5560
5586,NC63NE 53,Dail A' Thuraich,Township (Period Unassigned),265100,938600,58.315169,-4.30439,HIGHLAND,SUTHERLAND,FARR,NC 651 386,http://canmore.org.uk/site/5586
5587,NC63NE 54,Dailmallart,"Farmstead (Period Unassigned), Head Dyke (Post Medieval)",267100,937600,58.306804,-4.269706,HIGHLAND,SUTHERLAND,FARR,NC 671 376,http://canmore.org.uk/site/5587
5616,NC63NW 290,Righcopag,"Enclosure(S) (Period Unassigned), Farmstead (Period Unassigned), Head Dyke (Post Medieval), Township (Period Unassigned)",264500,935600,58.288062,-4.312863,HIGHLAND,SUTHERLAND,FARR,NC 645 356,http://canmore.org.uk/site/5616
5617,NC63NW 3,Ruighnasealbhaig,"Head Dyke (Post Medieval), Township (Period Unassigned)",261800,936000,58.29081,-4.359111,HIGHLAND,SUTHERLAND,FARR,NC 618 360,http://canmore.org.uk/site/5617
5662,NC64NE 20,Langdale,"Head Dyke (Post Medieval), Township (Period Unassigned)",269500,945200,58.37573,-4.233087,HIGHLAND,SUTHERLAND,FARR,NC 695 452,http://canmore.org.uk/site/5662
5675,NC64NW 4,Leitir Mhor,"Head Dyke (Post Medieval), Township (Period Unassigned)",261700,946000,58.380515,-4.36681,HIGHLAND,SUTHERLAND,TONGUE,NC 617 460,http://canmore.org.uk/site/5675
5692,NC64SE 21,Ceann-na-coille,"Sheepfold (Period Unassigned), Township (Period Unassigned)",268000,940700,58.334896,-4.256133,HIGHLAND,SUTHERLAND,FARR,NC 680 407,http://canmore.org.uk/site/5692
6122,NC73NW 1,Bad An Leathaid,"Corn Drying Kiln (Period Unassigned), Head Dyke (Post Medieval), Shieling Hut(S) (Post Medieval), Township (Period Unassigned)",270200,936000,58.293372,-4.215951,HIGHLAND,SUTHERLAND,FARR,NC 702 360,http://canmore.org.uk/site/6122
6129,NC73NW 8,Badinloskin,"Head Dyke (Post Medieval), Kiln (Period Unassigned), Township (Period Unassigned)",272100,938300,58.314572,-4.184839,HIGHLAND,SUTHERLAND,FARR,NC 721 383,http://canmore.org.uk/site/6129
6136,NC73SE 14,Wester Badanloch,"Head Dyke (Post Medieval), Kiln (Period Unassigned), Rig And Furrow (Medieval), Township (Period Unassigned)",278600,934400,58.281413,-4.071927,HIGHLAND,SUTHERLAND,KILDONAN,NC 786 344,http://canmore.org.uk/site/6136
6137,NC73SE 15,Easter Badanloch,Township (Period Unassigned),279300,933800,58.276221,-4.059686,HIGHLAND,SUTHERLAND,KILDONAN,NC 793 338,http://canmore.org.uk/site/6137
6150,NC73SW 1,Truderscaig,"Head Dyke (Post Medieval), Kiln(S) (Period Unassigned), Sheepfold(S) (Period Unassigned), Township (Period Unassigned)",270500,934000,58.275512,-4.209718,HIGHLAND,SUTHERLAND,FARR,NC 705 340,http://canmore.org.uk/site/6150
6166,NC73SW 24,An Crom-allt,Township (Period Unassigned)(Possible),271900,931000,58.248997,-4.18421,HIGHLAND,SUTHERLAND,KILDONAN,NC 719 310,http://canmore.org.uk/site/6166
6205,NC74SW 5,Rimsdale,"Head Dyke (Post Medieval), Township (Period Unassigned)",274000,940300,58.333071,-4.153526,HIGHLAND,SUTHERLAND,KILDONAN,NC 740 403,http://canmore.org.uk/site/6205
6239,NC75NW 36,Achinlochy,Township (Period Unassigned),271600,958500,58.495713,-4.204664,HIGHLAND,SUTHERLAND,FARR,NC 716 585,http://canmore.org.uk/site/6239
6241,NC75NW 38,Rhinovie,Township (Period Unassigned),271500,957600,58.487606,-4.205872,HIGHLAND,SUTHERLAND,FARR,NC 715 576,http://canmore.org.uk/site/6241
6242,NC75NW 39,Dalmor,"Corn Drying Kiln (Period Unassigned)(Possible), Head Dyke (Post Medieval), Township (Period Unassigned)",271900,955300,58.467083,-4.197727,HIGHLAND,SUTHERLAND,FARR,NC 719 553,http://canmore.org.uk/site/6242
6244,NC75NW 40,Skelpick Lodge,"Head Dyke (Post Medieval), Township (Period Unassigned)",271700,955700,58.470614,-4.201377,HIGHLAND,SUTHERLAND,FARR,NC 717 557,http://canmore.org.uk/site/6244
6309,NC75SW 20,Dunviden,"Corn Drying Kiln (Period Unassigned), Township (Period Unassigned)",272700,951800,58.435906,-4.182077,HIGHLAND,SUTHERLAND,FARR,NC 727 518,http://canmore.org.uk/site/6309
6310,NC75SW 21,Carnarchy,"Head Dyke (Post Medieval), Township (Period Unassigned)",271900,951600,58.433877,-4.195656,HIGHLAND,SUTHERLAND,FARR,NC 719 516,http://canmore.org.uk/site/6310
7399,NC96SW 3,Deasphollag,"Corn Drying Kiln (Period Unassigned), Head Dyke (Post Medieval), Township (Period Unassigned)",290400,960200,58.516106,-3.883148,HIGHLAND,SUTHERLAND,FARR,NC 904 602,http://canmore.org.uk/site/7399
